Price,Close,High,Low,Open,Volume
Ticker,M6E=F,M6E=F,M6E=F,M6E=F,M6E=F
Date,,,,,
2020-01-02,1.1217000484466553,1.1275999546051025,1.1212999820709229,1.1267999410629272,8693
2020-01-03,1.1217000484466553,1.1229000091552734,1.117300033569336,1.1220999956130981,8847
2020-01-06,1.1240999698638916,1.125499963760376,1.1205999851226807,1.12090003490448,6757
2020-01-07,1.1193000078201294,1.1246999502182007,1.1180000305175781,1.1246000528335571,8587
2020-01-08,1.1158000230789185,1.1216000318527222,1.114799976348877,1.1193000078201294,10598
2020-01-09,1.1152000427246094,1.1166000366210938,1.113700032234192,1.1153000593185425,6150
2020-01-10,1.1166000366210938,1.117300033569336,1.1129000186920166,1.1151000261306763,7136
2020-01-13,1.1181999444961548,1.11899995803833,1.1157000064849854,1.1160999536514282,5560
2020-01-14,1.1171000003814697,1.1187000274658203,1.1146999597549438,1.117900013923645,6234
2020-01-15,1.1193000078201294,1.1205999851226807,1.1160000562667847,1.1169999837875366,6697
2020-01-16,1.117400050163269,1.1211999654769897,1.1166000366210938,1.1191999912261963,7018
2020-01-17,1.1132999658584595,1.118499994277954,1.1124999523162842,1.1174999475479126,7944
2020-01-21,1.1132999658584595,1.1155999898910522,1.1115000247955322,1.1128000020980835,11997
2020-01-22,1.1130000352859497,1.1134999990463257,1.1104999780654907,1.111799955368042,8930
2020-01-23,1.1088999509811401,1.1145000457763672,1.1069999933242798,1.1130000352859497,10317
2020-01-24,1.1064000129699707,1.1098999977111816,1.1052000522613525,1.1088999509811401,6881
2020-01-27,1.1049000024795532,1.1069999933242798,1.104200005531311,1.1060999631881714,5721
2020-01-28,1.1049000024795532,1.1058000326156616,1.1030000448226929,1.1049000024795532,5335
2020-01-29,1.1051000356674194,1.1059999465942383,1.1023999452590942,1.1053999662399292,6491
2020-01-30,1.1059000492095947,1.1067999601364136,1.103700041770935,1.104200005531311,6169
2020-01-31,1.111899971961975,1.1124999523162842,1.104599952697754,1.1061999797821045,11035
2020-02-03,1.1093000173568726,1.1119999885559082,1.1059999465942383,1.1116000413894653,6671
2020-02-04,1.1069999933242798,1.1092000007629395,1.1059999465942383,1.1088999509811401,4436
2020-02-05,1.1023000478744507,1.107699990272522,1.1019999980926514,1.107300043106079,7761
2020-02-06,1.1002000570297241,1.1038000583648682,1.0988999605178833,1.1024999618530273,7112
2020-02-07,1.097000002861023,1.1009000539779663,1.09660005569458,1.100600004196167,8788
2020-02-10,1.0937999486923218,1.098099946975708,1.0930999517440796,1.0967999696731567,6264
2020-02-11,1.094499945640564,1.0947999954223633,1.0914000272750854,1.093500018119812,7182
2020-02-12,1.0888999700546265,1.0946999788284302,1.0887000560760498,1.0938999652862549,9655
2020-02-13,1.086300015449524,1.0908000469207764,1.0852999687194824,1.0892000198364258,9248
2020-02-14,1.0858999490737915,1.0880999565124512,1.0845999717712402,1.0858999490737915,6698
2020-02-18,1.0812000036239624,1.086899995803833,1.080299973487854,1.0856000185012817,14657
2020-02-19,1.0814000368118286,1.0829999446868896,1.079800009727478,1.0810999870300293,7653
2020-02-20,1.0805000066757202,1.0836999416351318,1.0793999433517456,1.0822999477386475,11212
2020-02-21,1.0872000455856323,1.0878000259399414,1.0800000429153442,1.0800000429153442,13043
2020-02-24,1.0857000350952148,1.0886000394821167,1.0820000171661377,1.0844999551773071,11968
